title,desc,repo_name,repo_username,repo_url,repo_star
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Awesome-Microservices-DotNet,mjebrahimi,https://www.github.com/mjebrahimi,2800
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",SmartStoreNET,smartstore,https://www.github.com/smartstore,2600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",BaGet,loic-sharma,https://www.github.com/loic-sharma,2600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Serenity,serenity-is,https://www.github.com/serenity-is,2600
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",ImageProcessor,JimBobSquarePants,https://www.github.com/JimBobSquarePants,2500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",DotNet-Developer-Roadmap,milanm,https://www.github.com/milanm,2400
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",aspnetcore-angular-universal,TrilonIO,https://www.github.com/TrilonIO,1500
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",csla,MarimerLLC,https://www.github.com/MarimerLLC,1300
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",Smartstore,smartstore,https://www.github.com/smartstore,1200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",aspnetcore-Vue-starter,TrilonIO,https://www.github.com/TrilonIO,1200
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awesome,sindresorhus,https://www.github.com/sindresorhus,340000
"Search code, repositories, users, issues, pull requests...","We read every piece of feedback, and take your input very seriously.",awesome-python,vinta,https://www.github.com/vinta,229000
